pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
2,666163,"Rortvedt, Ben",36,5.6,0.5,0.5,0.5,1,0.627,0.486,0.509,1,2,87.7,21,1716,70.9,68.4,0,2,0,-2.5,4.7,112,151,128,150,306,329,302,-0.2,0.2,73.45588,7.612675
2,642086,"Smith, Dominic",31,6.5,0.5,0,0.5,0.5,0.441,0.35,0.35,1,2,84.7,24.5,1398,38.9,36,0,2,0,-2.9,4.1,123,151,135,154,261,322,307,0.1,-0.1,68.04194,7.16294
2,527054,"Teheran, Julio",68,2.9,1,0,1,1,0.882,0.833,0.863,2,2,95.7,16,2128,90.9,90.4,0,2,0,-0.5,6.3,102,152,129,151,324,333,302,-0.5,0.5,70.659775,7.20054
2,702674,"Dana, Caden",206,1,1,0.5,1,1.5,1.068,0.472,0.503,2,2,80,20,2234,94.5,93.7,0,2,0,-0.7,6.35,120,150,126,149,304,327,303,-1.5,1.5,66.910015,6.356215
2,622088,"Antone, Tejay",47,4.3,0.5,0.5,0.5,1,0.627,0.417,0.444,1,2,93.2,15,2746,83.8,83.85,0,2,0,0,6.5,118,146,115,151,295,322,287,-0.6,0.6,71.77565,6.5102
2,683568,"Iriarte, Jairo",137,1.5,0.5,0,0.5,0.5,0.441,0.428,0.437,1,2,80.9,25,2216,94.1,94.7,0,2,0,0.7,6.85,105,146,128,154,294,327,299,-0.1,0.1,70.882515,7.62059
2,543305,"Hicks, Aaron",18,11.1,0.5,0,0.5,0.5,0.441,0.415,0.384,1,2,89.6,22.5,1427,61.6,59.45,0,2,0,-2,4.6,116,151,137,152,313,332,308,-0.1,0.1,,
2,656657,"Logue, Zach",43,4.7,1,0,1,1,0.882,0.756,0.764,2,2,96.6,15,2152,89.5,88.05,0,2,0,-1.4,5.55,115,154,126,149,313,317,287,-0.5,0.5,68.766365,6.998525
2,689266,"Dodd, Dylan",34,5.9,1,0,1,1,0.882,0.546,0.528,2,2,100.6,17.5,2419,81.1,81.35,0,2,0,0.2,6.55,115,152,125,147,308,320,293,-1.2,1.2,68.88105,7.45686
2,543063,"Crawford, Brandon",35,5.7,1,0,1,1,0.882,0.61,0.637,2,2,90.5,12,1951,85.4,84.9,0,2,0,-0.4,6.2,115,144,124,142,312,313,309,-1.6,1.6,73.545595,6.984335
2,664123,"Effross, Scott",55,3.6,0.5,0,0.5,0.5,0.441,0.595,0.589,1,2,100,16.5,2280,89.8,88.75,0,2,0,-1,5.95,117,152,121,153,297,329,280,0.1,-0.1,71.86886,7.39016
2,680911,"Miller, Owen",37,5.4,1,0.5,1,1.5,1.068,0.694,0.744,2,2,85.7,13,1576,61.1,59.1,0,2,0,-2,4.45,117,150,131,151,308,327,313,-0.4,0.4,69.05555,6.886485
2,656186,"Altavilla, Dan",83,2.4,0.5,0,0.5,0.5,0.441,0.773,0.742,1,2,93.6,18.5,2359,96.9,96.5,0,2,0,-0.4,5.8,100,143,117,149,301,324,290,-0.7,0.7,73.76971,7.02068
2,686993,"Sterner, Justin",64,3.1,1,1,1,2,1.254,0.568,0.435,2,2,100.4,20.5,2303,92.5,92.6,0,2,0,0.2,6.45,108,149,130,152,305,334,298,-1,1,70.47876,6.707825
2,674444,"Cruz, Steven",82,2.4,0.5,0,0.5,0.5,0.441,0.686,0.671,1,2,87.1,20,2238,94.4,95.5,0,2,0,1.1,6.85,120,151,113,151,301,333,300,0.2,-0.2,76.038505,7.9636
2,692285,"Guerrero, Luis",133,1.5,0.5,0,0.5,0.5,0.441,0.831,0.864,1,2,103.1,13.5,2371,91,90.15,0,2,0,-0.8,5.6,119,152,109,147,287,317,293,-0.6,0.6,68.89926,7.08857
2,661269,"Gutierrez, Vladimir",80,2.5,0.5,0,0.5,0.5,0.441,0.384,0.41,1,2,85.7,18,2228,86.4,87.5,0,2,0,1.2,7.05,100,150,118,147,297,317,294,-0.4,0.4,,
2,687847,"Church, Marc",15,13.3,0.5,0.5,0.5,1,0.627,0.579,0.596,1,2,93,18,2038,87.2,87.9,0,2,0,0.7,6.7,116,154,123,149,302,307,285,-0.5,0.5,64.36945,6.72888
1,623168,"Heineman, Tyler",8,12.5,0,0,0,0,0,0.65,0.631,0,1,93.2,17,1607,67.1,65.5,0,1,0,-1.6,4.9,109,147,109,136,304,319,281,0.3,-0.3,75.33935,7.04904
1,686654,"Adcock, Ty",86,1.2,1,0,1,1,0.882,0.734,0.766,1,1,99.2,15,2001,87.5,87.8,0,1,0,0.3,6.2,116,143,135,149,301,329,290,-0.5,0.5,69.96077,6.51965
1,571466,"Barnhart, Tucker",11,9.1,1,0,1,1,0.882,0.855,0.891,1,1,96.5,14,1769,68.5,65.9,0,1,0,-2.6,4.1,113,152,129,147,300,314,290,-0.2,0.2,65.2036,5.85457
1,694646,"McDermott, Chayce",82,1.2,,,0,,0,0.291,,0,0,85.5,22,2079,93.2,94.1,0,1,0,0.9,7,86,141,93,150,280,314,289,0.1,-0.1,55.7276,5.60244
1,656814,"Ortiz, Luis F.",10,10,1,0,1,1,0.882,0.953,0.937,1,1,108,11,2669,81.5,80.8,0,1,0,-0.7,5.7,87,145,121,144,303,324,282,-0.8,0.8,,
1,543510,"McCann, James",10,10,1,0,1,1,0.882,0.31,0.303,1,1,89.3,21,1036,44.2,42.8,0,1,0,-1.4,4.5,121,153,126,149,321,329,303,-0.4,0.4,68.83993,6.56781
1,685314,"Saalfrank, Andrew",26,3.8,1,1,1,2,1.254,0.697,0.583,1,1,105,18,1867,90,89.3,0,1,0,-0.7,5.9,101,113,97,115,304,335,296,-1.9,1.9,76.04167,6.99965
1,686294,"Willingham, Amos",20,5,1,0,1,1,0.882,0.664,0.7,1,1,96.7,10,2129,92.2,92.9,0,1,0,0.7,6.7,125,146,91,150,293,312,295,-0.4,0.4,64.66161,5.62274
1,683021,"Stefanic, Michael",15,6.7,1,0,1,1,0.882,0.897,0.98,1,1,78.4,20,1691,64.3,62.8,0,1,0,-1.5,5,120,149,132,154,291,332,307,-0.3,0.3,70.70914,7.15456
1,623437,"Topa, Justin",20,5,1,0,1,1,0.882,0.891,0.977,1,1,72.9,20,2289,90.6,90.2,0,1,0,-0.4,5.7,121,146,97,154,305,313,290,-1.5,1.5,69.21533,6.54169
1,643396,"Kiner-Falefa, Isiah",18,5.6,1,0,1,1,0.882,0.641,0.709,1,1,95.4,10,1354,65.9,64.9,0,1,0,-1,5.6,109,151,118,139,297,317,275,-0.7,0.7,74.45193,7.18589
1,659275,"Lamet, Dinelson",74,1.4,0,0,0,0,0,0.268,0.189,0,1,94.7,22,2476,84.4,84,0,1,0,-0.4,5.9,115,153,124,151,284,309,292,0.1,-0.1,68.29919,7.79584
1,668472,"Pratto, Nick",15,6.7,1,0,1,1,0.882,0.909,0.92,1,1,105.1,12,2261,80.8,80,0,1,0,-0.8,5.8,116,152,129,147,316,347,312,-0.1,0.1,81.60717,7.98095
1,679358,"Orze, Eric",42,2.4,1,0,1,1,0.882,0.757,0.783,1,1,110.3,8,2097,94.3,95.5,0,1,0,1.2,7,110,148,138,154,306,330,305,-0.3,0.3,77.00231,6.55208
1,664901,"Mendick, Danny",15,6.7,0,0,0,0,0,0.206,0.163,0,1,95.2,23,780,34.3,31.5,0,1,0,-2.8,4.2,114,151,122,142,290,313,306,0.3,-0.3,,
