pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length
2,621363,"Poche, Colin",543,0.4,0,0,0,0,0,0.572,0.607,0,2,100.4,6.5,2329,85.9,88,0,2,0,2.2,7.25,90,147,102,149,304,330,295,0.4,-0.4,72.729245,6.75859
2,660813,"Graterol, Brusdar",101,2,0,0,0,0,0,0.71,0.744,0,2,82.5,14.5,2116,99.2,98.4,0,2,0,-0.8,5.75,122,153,139,153,307,319,301,0.2,-0.2,71.649265,7.136645
2,663738,"Lynch IV, Daniel",631,0.3,0,0,0,0,0,0.808,0.847,0,2,95.1,11.5,2123,89,89.7,0,2,0,0.7,6.7,105,149,125,152,307,329,302,0.5,-0.5,76.324125,7.985995
2,622694,"Hernández, Elieser",251,0.8,0,0,0,0,0,0.579,0.61,0,2,101.2,6,2260,91.7,92.2,0,2,0,0.5,6.65,119,154,128,149,302,314,286,0.3,-0.3,70.32365,7.053585
2,691951,"Aldegheri, Sam",222,0.9,0,0,0,0,0,0.603,0.647,0,2,101.1,8,2031,89,88.5,0,2,0,-0.5,6,99,153,116,149,315,328,298,-0.5,0.5,72.95664,7.276865
2,694738,"Roupp, Landen",907,0.2,0,0,0,0,0,0.515,0.551,0,2,93.6,10,1903,91,91.35,0,2,0,0.3,6.55,118,150,126,149,296,330,299,0.6,-0.6,74.81645,7.683545
2,660825,"Bazardo, Eduard",441,0.5,0,0,0,0,0,0.449,0.486,0,2,73.8,14,2525,81.8,81.15,0,2,0,-0.6,6.05,112,150,120,143,302,320,285,0.9,-0.9,73.79144,8.097125
2,623465,"Phillips, Evan",917,0.2,0,0,0,0,0,0.424,0.469,0,2,60.6,29.5,2435,94.3,94.6,0,2,0,0.3,6.35,124,151,136,151,297,316,302,0.4,-0.4,65.12806,6.506225
2,689225,"Brieske, Beau",1152,0.2,0,0,0,0,0,0.469,0.517,0,2,87.9,9,2410,96.3,95.85,0,2,0,-0.5,6.05,120,150,132,150,298,325,292,1,-1,71.894495,6.56172
2,570257,"Rodríguez, Joely",249,0.8,0,0,0,0,0,0.66,0.696,0,2,107,8,1248,85.7,85.55,0,2,0,-0.2,6.5,102,152,111,140,292,326,293,0.5,-0.5,74.80564,7.35951
