player_id,player_name,year,team_id,run_value,run_value_fielding,run_value_range,run_value_arm,run_value_catching,run_value_framing,run_value_stealing,run_value_blocks,outs,outs_2,outs_3,outs_4,outs_5,outs_6,outs_7,outs_8,outs_9
656896,"Rivera, Emmanuel",2024,110,-0.254718878,-0.254718878,-0.254718878,,0,,,,2133,0,300,0,1833,0,0,0,0
596103,"Slater, Austin",2024,110,-0.255979343,-0.255979343,-0.33408,0.078100657,0,,,,1243,0,0,0,0,0,468,180,595
682988,"Locklear, Tyler",2024,136,-0.30718679,-0.30718679,-0.30718679,,0,,,,336,0,336,0,0,0,0,0,0
682119,"Jordan, Levi",2024,113,-0.331353098,-0.331353098,-0.01584,-0.315513098,0,,,,81,0,0,12,0,0,39,0,30
641943,"Palacios, Joshua",2024,134,-0.335612913,-0.335612913,0.37809,-0.713702913,0,,,,489,0,0,0,0,0,87,45,357
642020,"Robinson, Chuckie",2024,145,-0.340971692,,,,-0.340971692,0.563495571,-1.151953145,0.247485881,579,579,0,0,0,0,0,0,0
592663,"Realmuto, J.T.",2024,143,-0.364318468,,,,-0.364318468,-2.521853231,2.658811446,-0.501276682,2614,2614,0,0,0,0,0,0,0
681508,"Gasper, Mickey",2024,111,-0.365248215,-0.365248215,-0.365190231,-5.79847E-05,0,,,,96,0,6,90,0,0,0,0,0
613564,"Vosler, Jason",2024,136,-0.379540962,-0.379540962,-0.190231739,-0.189309224,0,,,,108,0,87,0,0,0,3,0,18
575929,"Contreras, Willson",2024,138,-0.379872007,,,,-0.379872007,-1.918899352,0.860341794,0.678685551,1295,1295,0,0,0,0,0,0,0
663837,"Vierling, Matt",2024,116,-0.390292205,-0.390292205,0.751449708,-1.141741913,0,,,,3331,0,6,0,1108,0,273,1203,741
660821,"Sánchez, Jesús",2024,146,-0.397047072,-0.397047072,0.39906,-0.796107072,0,,,,2803,0,0,0,0,0,180,0,2623
622761,"Mateo, Jorge",2024,110,-0.39893832,-0.39893832,-0.443463935,0.044525615,0,,,,1517,0,0,1373,0,93,0,51,0
668723,"Vilade, Ryan",2024,116,-0.4071829,-0.4071829,0.29979,-0.7069729,0,,,,337,0,6,0,0,0,150,26,155
679529,"Torkelson, Spencer",2024,116,-0.413700126,-0.413700126,-0.424468299,0.010768173,0,,,,2399,0,2399,0,0,0,0,0,0
671221,"Waters, Drew",2024,118,-0.421061591,-0.421061591,-0.14004,-0.281021591,0,,,,135,0,0,0,0,0,54,0,81
666211,"Trammell, Taylor",2024,147,-0.449351706,-0.449351706,-0.52083,0.071478294,0,,,,64,0,0,0,0,0,43,0,21
596117,"Stubbs, Garrett",2024,143,-0.463476283,,,,-0.463476283,-2.185171382,1.915788702,-0.194093602,1273,1273,0,0,0,0,0,0,0
677956,"Hinds, Rece",2024,113,-0.463671464,-0.463671464,0.37935,-0.843021464,0,,,,345,0,0,0,0,0,12,18,315
592192,"Canha, Mark",2024,137,-0.481978351,-0.481978351,0.889226934,-1.371205285,0,,,,1995,0,1126,0,3,0,555,0,311
693049,"Colás, Oscar",2024,145,-0.482384325,-0.482384325,-0.37665,-0.105734325,0,,,,226,0,0,0,0,0,0,75,151
669326,"Teodosio, Bryce",2024,108,-0.490962836,-0.490962836,0.07101,-0.561972836,0,,,,87,0,0,0,0,0,0,87,0
545361,"Trout, Mike",2024,108,-0.499081169,-0.499081169,0.21636,-0.715441169,0,,,,609,0,0,0,0,0,0,609,0
527038,"Flores, Wilmer",2024,137,-0.505088591,-0.505088591,-0.505088591,,0,,,,1201,0,1159,0,42,0,0,0,0
669374,"Hiura, Keston",2024,108,-0.508278122,-0.508278122,-0.508278122,,0,,,,99,0,0,99,0,0,0,0,0
694497,"Carter, Evan",2024,140,-0.517841936,-0.517841936,-0.86688,0.349038064,0,,,,993,0,0,0,0,0,768,51,174
670156,"Mastrobuoni, Miles",2024,112,-0.525480027,-0.525480027,-0.379531128,-0.145948899,0,,,,692,0,0,171,296,186,24,0,15
668731,"Baddoo, Akil",2024,116,-0.530105108,-0.530105108,0.34659,-0.876695108,0,,,,566,0,0,0,0,0,471,20,75
630105,"Cronenworth, Jake",2024,135,-0.535351702,-0.535351702,-0.411035827,-0.124315875,0,,,,3880,0,2146,1734,0,0,0,0,0
666165,"Sabol, Blake",2024,137,-0.556970648,,,,-0.556970648,0.272755222,-0.869094275,0.039368405,195,195,0,0,0,0,0,0,0
665120,"Walsh, Jared",2024,140,-0.561037292,-0.561037292,-0.561037292,,0,,,,378,0,378,0,0,0,0,0,0
688363,"Pauley, Graham",2024,135,-0.562619878,-0.562619878,-0.562619878,,0,,,,103,0,6,0,97,0,0,0,0
